width,height
0.0064078778515317,0.00498574963412427
0.106585912472602,0.0745638165503494
0.140591484265132,0.128047538723946
0.145231501245289,0.167704708292006
0.15055789740212,0.195803117391624
0.158522437794815,0.214610558159893
0.163771066534363,0.22637044940341
0.161944804598236,0.231715091847183
0.153415640913966,0.228690065122421
0.139960048526774,0.215107637133046
0.123356690931388,0.190337175349625
0.105669950798625,0.159967450694345
0.0895470032907102,0.13112071774118
0.0772870550595414,0.109326025799005
0.0682812439383768,0.097345335407737
0.0606876172590099,0.0974677931882506
0.0527071253969552,0.109950144354235
0.0426836655703524,0.133847186667956
0.028987996654679,0.168198068592839
0.0099908775254128,0.212041938592308
